id,cip6
MID25805916,140801
MID25806078,141901
MID25806161,141901
MID25806173,141001
MID25806204,140801
MID25806472,143501
MID25806476,141001
MID25806559,140801
MID25806600,141901
MID25806733,141901
MID25806744,141001
MID25806766,141901
MID25807342,141001
MID25807427,141901
MID25807494,141901
MID25807640,141901
MID25807791,141901
MID25807811,141001
MID25807878,140801
MID25807965,141901
MID25807990,141001
MID25808049,140801
MID25808129,143501
MID25808257,143501
MID25808278,140801
MID25808389,141901
MID25808400,140801
MID25808427,140801
MID25808441,143501
MID25808667,141901
MID25808669,140801
MID25808674,141001
MID25808828,140801
MID25808952,140801
MID25809007,140801
MID25809299,140801
MID25809495,141001
MID25809531,143501
MID25809552,141901
MID25809608,140801
MID25809631,143501
MID25809769,140801
MID25809958,140801
MID25809967,140801
MID25810195,143501
MID25810374,143501
MID25810375,141901
MID25810531,140801
MID25810549,141901
MID25810594,141001
MID25810594,143501
MID25810598,141901
MID25810688,140801
MID25810798,141901
MID25810854,141901
MID25810960,141901
MID25810968,143501
MID25810997,141901
MID25811040,141901
MID25811043,141901
MID25811085,141901
MID25811134,141901
MID25811161,141901
MID25811210,141001
MID25811262,141901
MID25811422,141901
MID25811497,141901
MID25811693,141901
MID25811693,143501
MID25811770,141901
MID25811986,143501
MID25812153,141901
MID25812195,141001
MID25812374,141901
MID25812411,140801
MID25812460,140801
MID25812477,141901
MID25812517,141001
MID25812604,141001
MID25812743,141901
MID25812939,141901
MID25812966,140801
MID25813013,141901
MID25813205,141001
MID25813287,140801
MID25813489,141901
MID25813535,141901
MID25813649,141001
MID25813684,140801
MID25813725,141901
MID25813809,141901
MID25813852,141901
MID25813890,141901
MID25813924,141901
MID25813940,143501
MID25813973,140801
MID25813995,140801
MID25814017,143501
MID25814204,141901
MID25814251,141001
MID25814412,140801
MID25814465,140801
MID25814491,141901
MID25814505,143501
MID25814626,141901
MID25814626,140801
MID25814680,141901
MID25814699,141901
MID25814740,140801
MID25814757,143501
MID25814981,140801
MID25815125,141001
MID25815243,141901
MID25815265,141001
MID25815408,141901
MID25815422,140801
MID25815468,141901
MID25815509,141901
MID25815581,141001
MID25815987,140801
MID25816220,140801
MID25816273,141901
MID25816404,141001
MID25816411,141001
MID25816481,141001
MID25816530,141901
MID25816716,141901
MID25816829,140801
MID25816951,140801
MID25816988,141001
MID25817001,140801
MID25817040,141901
MID25817157,141001
MID25817432,140801
MID25817460,140801
MID25817613,141901
MID25817749,143501
MID25817986,140801
MID25818167,141001
MID25818190,141001
MID25818239,141001
MID25818351,143501
MID25818460,141901
MID25818573,140801
MID25818673,141001
MID25818734,140801
MID25818740,141901
MID25818792,141001
MID25818849,141901
MID25818868,143501
MID25818900,140801
MID25818903,141001
MID25818910,141901
MID25818950,140801
MID25819021,141001
MID25819022,140801
MID25819071,140801
MID25819088,141001
MID25819209,141901
MID25819240,140801
MID25819245,141901
MID25819281,140801
MID25819306,141901
MID25819523,140801
MID25819590,141001
MID25819594,141901
MID25819649,140801
MID25819700,141901
MID25819863,141901
MID25819864,141901
MID25819896,141001
MID25819937,140801
MID25819990,143501
MID25820042,141901
MID25820048,141901
MID25820065,141901
MID25820107,141001
MID25820207,141001
MID25820301,141001
MID25820381,141901
MID25820391,141001
MID25820516,141901
MID25820524,140801
MID25820548,141901
MID25820632,140801
MID25820634,141001
MID25820678,141901
MID25820734,143501
MID25820802,141001
MID25820837,140801
MID25821076,140801
MID25821185,141001
MID25821361,141001
MID25821394,141901
MID25821394,143501
MID25821620,141901
MID25821640,140801
MID25821655,141901
MID25821656,141901
MID25821816,141001
MID25821873,141901
MID25821895,141901
MID25821902,140801
MID25822001,141001
MID25822021,140801
MID25822043,140801
MID25822099,140801
MID25822134,140801
MID25822180,141901
MID25822247,141001
MID25822400,141901
MID25822528,141901
MID25822596,141901
MID25822678,140801
MID25822743,140801
MID25822822,141001
MID25822865,140801
MID25822915,141901
MID25823327,140801
MID25823473,141001
MID25823596,141901
